"","site","village","sci.name","tag.no","treatment","recruit.type","height","rcd","lat","long","altitude","disturbance"
"305","APC6_CAFA","APC6","Dolichandrone atrovirens",1340,"CAFA","seedling recruitment",61,1.4,"13.9396551","78.4931966",459,"none"
"306","APC10_Control","APC10","Acacia chundra",4998,"Control","clonal offspring",60,0.4,"13.8619765","78.43266102",454.515625,"none"
"307","APC5_CPFA","APC5","Albizia lebbeck",1373,"CPFA","seedling recruitment",60,0.4,"13.81481473","78.41885467",449.5847168,"none"
"308","APC7_CAFA","APC7","Dolichandrone atrovirens",4533,"CAFA","seedling recruitment",60,0.4,"13.93977413","78.49535237",474,"none"
"309","APA1_Control","APA1","Wrightia tinctoria",1179,"Control","clonal offspring",60,0.5,"14.073006666666666","78.32036833333333",554.5,"none"
"310","APA17_CPFA","APA17","Acacia chundra",4741,"CPFA","seedling recruitment",60,0.5,"14.11829478","78.33382101",387.7120361,"none"
"311","APA21_CAFA","APA21","Dalbergia paniculata",4941,"CAFA","clonal offspring",60,0.5,"14.00870468","78.32072303",504.7241211,"none"
"312","APA21_CAFA","APA21","Dalbergia paniculata",4938,"CAFA","clonal offspring",60,0.5,"14.00872816","78.32065671",500.7401123,"none"
"313","APC1_CPFA","APC1","Erythroxylum monogynum",1060,"CPFA","clonal offspring",60,0.5,"13.85034436","78.44375361",494.3773804,"none"
"314","APC12_CPFA","APC12","Acacia chundra",4695,"CPFA","seedling recruitment",60,0.5,"13.89257807","78.41392014",430,"none"
"315","APC1_CPFA","APC1","Erythroxylum monogynum",1088,"CPFA","seedling recruitment",60,0.6,"13.85038605","78.44346417",477.6759033,"none"
"316","APC12_CPFA","APC12","Acacia chundra",4686,"CPFA","seedling recruitment",60,0.6,"13.89261768","78.41359412",429,"none"
"317","APC12_CPFA","APC12","Acacia chundra",4689,"CPFA","seedling recruitment",60,0.6,"13.89258597","78.41361988",431,"none"
